Last Name,First Name,Club,Playing Position,Base Salary,Base Guaranteed Comp.
Marshall-Rutty,Jahkeele,Toronto FC,F,"$100,000","$106,842"
Martinez,Josef,Atlanta United,F,"$3,500,000","$3,891,667"
Martinez,Jose Antonio,FC Dallas,D,"$600,000","$673,000"
Martinez,Jose Andres,Philadelphia Union,M,"$225,000","$251,250"
Martinez,Doug,Real Salt Lake,F,"$81,375","$81,375"
Martins,Felipe,DC United,M,"$150,000","$150,000"
Martins,Luis,Sporting Kansas City,D,"$340,000","$340,000"
Matan,Alexandru,Columbus Crew,M,"$375,000","$408,250"
Matarrita,Ronald,FC Cincinnati,D,"$700,000","$753,083"
Matuidi,Blaise,Inter Miami,M,"$1,500,000","$1,500,000"
Maurer,Jimmy,FC Dallas,GK,"$158,125","$160,625"
Mavinga,Chris,Toronto FC,D,"$850,000","$887,500"
Mayaka,Philip,Colorado Rapids,M,"$81,375","$94,375"
Mbaizo,Olivier,Philadelphia Union,D,"$89,513","$89,513"
McCarthy,John,Inter Miami,GK,"$130,000","$136,583"
McCarty,Dax,Nashville SC,M,"$725,000","$725,000"
McCue,Erik,Houston Dynamo,D,"$81,375","$81,375"
McGlynn,Jack,Philadelphia Union,M,"$64,992","$78,892"
McGraw,Zac,Portland Timbers,D,"$66,724","$66,724"
Mcgree,Riley,Major League Soccer,M,"$170,000","$180,000"
McIntosh,Kendall,Sporting Kansas City,GK,"$96,375","$96,375"
McNamara,Thomas,New England Revolution,M,"$225,000","$225,000"
Meara,Ryan,New York Red Bulls,GK,"$270,000","$270,000"
Medina,Jesus,New York City FC,M,"$1,050,000","$1,170,833"
Medran,Alvaro,Chicago Fire,M,"$1,000,000","$1,055,000"
Medranda,Jimmy,Seattle Sounders FC,M-D,"$180,000","$190,000"
Medunjanin,Haris,FC Cincinnati,M,"$570,000","$625,750"
Megiolaro,Phelipe,FC Dallas,GK,"$150,000","$176,250"
Melia,Tim,Sporting Kansas City,GK,"$500,000","$504,167"
Méndez,Jhegson Sebastián,Orlando City SC,M,"$550,000","$586,750"
Mensah,Jonathan,Columbus Crew,D,"$1,000,000","$1,140,667"
Meram,Justin,Real Salt Lake,M,"$500,000","$500,000"
Meredith,Bryan,Nashville SC,GK,"$81,375","$87,375"
Metanire,Romain,Minnesota United,D,"$600,000","$699,250"
Metcalfe,Patrick,Vancouver Whitecaps,M,"$66,724","$66,724"
Meza,Fernando,Atlanta United,D,"$975,000","$975,000"
Mezquida,Nicolas,Colorado Rapids,M,"$350,000","$380,000"
Michel,Benji,Orlando City SC,F,"$109,250","$115,553"
Mihailovic,Djordje,Montreal,M,"$600,000","$651,875"
Miller,Tyler,Minnesota United,GK,"$400,000","$420,937"
Miller,Kamal,Montreal,D,"$85,444","$85,444"
Miller,Eric,Nashville SC,D,"$147,000","$147,000"
Mina Nazarit,Miguel,Nashville SC,D,"$700,000","$894,375"
Mines,Ben,FC Cincinnati,M,"$81,375","$86,239"
Mior,Joao Paulo,Seattle Sounders FC,M,"$1,000,000","$1,050,000"
Miscic,Selmir,Philadelphia Union,M,"$63,547","$70,026"
Mitrita,Alexandru,New York City FC,F,"$700,000","$700,000"
Mizell,Cody,New York City FC,GK,"$81,375","$81,375"
Mokotjo,Kamohelo,FC Cincinnati,D-M,"$925,000","$1,007,969"
Molino,Kevin,Columbus Crew,M,"$667,000","$667,000"
Monis,Alex,Chicago Fire,F,"$66,724","$68,624"
Monteiro,Jamiro,Philadelphia Union,M,"$1,300,000","$1,476,250"
Montero,Fredy,Seattle Sounders FC,F,"$81,375","$81,375"
Montgomery,Callum,Minnesota United,D,"$81,375","$83,292"
Moon-Hwan,Kim,LAFC,D-M,"$500,000","$524,000"
Moor,Drew,Colorado Rapids,D,"$150,000","$165,000"
Mora,Joseph,DC United,D,"$184,000","$198,600"
Mora,Felipe,Portland Timbers,F,"$825,000","$905,000"
Morales,Efrain,Atlanta United,D,"$63,547","$63,547"
Morales,Alfredo,New York City FC,M,"$600,000","$662,250"
Moralez,Maxi,New York City FC,M,"$2,500,000","$3,285,000"
Moreno,Marcelino,Atlanta United,M,"$400,000","$400,000"
Moreno,Junior,DC United,M,"$184,000","$193,550"
Morgan,Lewis,Inter Miami,M-F,"$550,000","$553,125"
Morgan,Ashtone,Real Salt Lake,D,"$132,000","$132,000"
Morris,Aidan,Columbus Crew,M,"$145,000","$147,000"
Morris,Jordan,Seattle Sounders FC,F,"$1,150,000","$1,270,100"
Morrow,Justin,Toronto FC,D,"$125,000","$125,000"
Morton,Kyle,Houston Dynamo,GK,"$81,375","$81,375"
Moutinho,Joao,Orlando City SC,D,"$180,000","$223,000"
Mueller,Chris,Orlando City SC,M,"$123,715","$137,465"
Mukhtar,Hany,Nashville SC,M,"$1,505,000","$1,505,000"
Mullins,Patrick,Toronto FC,F,"$234,996","$248,329"
Mulraney,Jake,Atlanta United,M,"$275,600","$312,777"
Munjoma,Eddie,FC Dallas,D,"$66,724","$66,724"
Murillo,Jesus,LAFC,D,"$400,000","$459,500"
Muse,Trey,Seattle Sounders FC,GK,"$81,375","$90,125"
Musovski,Danny,LAFC,F,"$85,444","$85,444"
Muyl,Alex,Nashville SC,M,"$240,000","$246,563"
Nagbe,Darlington,Columbus Crew,M,"$1,710,000","$1,710,000"
Najar,Andy,DC United,D,"$90,000","$100,000"
Namli,Younes,Colorado Rapids,M,"$850,000","$1,271,000"
Nani,Luis,Orlando City SC,F,"$2,333,333","$2,486,250"
Navarro,Miguel Angel,Chicago Fire,D,"$120,000","$167,000"
Neal,Jalen,LA Galaxy,D,"$90,000","$103,625"
Nealis,Dylan,Nashville SC,D,"$100,000","$125,000"
Nealis,Sean,New York Red Bulls,D,"$81,375","$81,375"
Nelson,John,FC Dallas,D,"$115,000","$123,000"
Nelson,Michael,Houston Dynamo,GK,"$85,444","$85,444"
Nelson,Jayden,Toronto FC,F,"$100,000","$106,586"
Nerwinski,Jake,Vancouver Whitecaps,D,"$255,000","$270,000"
Newton,Evan,Vancouver Whitecaps,GK,"$95,000","$104,802"
Niezgoda,Jaroslaw,Portland Timbers,F,"$739,500","$908,758"
Nyeman,Moses,DC United,M,"$85,444","$88,230"
O'Neill,Shane,Seattle Sounders FC,D,"$115,000","$115,000"
Obrian,Jader,FC Dallas,M,"$360,000","$444,600"
Ocampo-Chavez,Alfonso,Seattle Sounders FC,F,"$81,375","$95,875"
Ochoa,David,Real Salt Lake,GK,"$90,000","$90,000"
Ochoa,Emmanuel,San Jose Earthquakes,GK,"$65,000","$75,080"
Odoi-Atsem,Chris,DC United,D,"$130,000","$141,000"
Offor,Chinonso,Chicago Fire,F,"$132,000","$181,400"
Okello,Noble,Toronto FC,M,"$100,000","$111,815"
Omsberg,Wyatt,Chicago Fire,D,"$85,444","$85,444"
Opara,Ike,Minnesota United,D,"$600,000","$685,333"
Opoku,Kwadwo,LAFC,F,"$81,375","$122,430"
Oravec,Matej,Philadelphia Union,M,"$270,000","$284,500"
Osorio,Jonathan,Toronto FC,M,"$850,000","$876,250"
Owusu,Leonard,Vancouver Whitecaps,M,"$350,000","$401,250"
Palacios,Diego,LAFC,D,"$432,000","$456,000"
Palomino,Marcelo,Houston Dynamo,F,"$66,724","$66,724"
Panicco,Elliot,Nashville SC,GK,"$81,375","$81,375"
Pantemis,James,Montreal,GK,"$130,000","$145,833"
Paredes,Kevin,DC United,M,"$100,000","$108,000"
Paredes,Cristhian,Portland Timbers,M,"$252,000","$283,500"
Parente,Isaiah,Columbus Crew,M,"$63,547","$67,547"
Parker,Tim,Houston Dynamo,D,"$838,200","$852,200"
Parks,Keaton,New York City FC,M,"$350,000","$350,000"
Pasher,Tyler,Houston Dynamo,D-M,"$150,000","$157,881"
Pato,Alexandre,Orlando City SC,F,"$272,727","$272,727"
Pecile,Damiano,Vancouver Whitecaps,M,"$66,724","$72,818"
Pellegrini,Matias,Inter Miami,M-F,"$825,000","$920,833"
Pendant,Jason,New York Red Bulls,D,"$325,000","$385,750"
Penn,Josh,Inter Miami,M-F,"$63,547","$63,547"
Pepi,Ricardo,FC Dallas,F,"$90,000","$108,000"
Perea,Andres,Orlando City SC,M,"$180,000","$185,500"
Pereira,Danny,Austin FC,M,"$81,375","$99,793"
Pereyra,Mauricio,Orlando City SC,M,"$1,800,000","$1,800,000"
Perez,Adrien,DC United,F,"$81,375","$81,375"
Perez,Jonathan,LA Galaxy,M,"$125,000","$146,750"
Perruzza,Jordan,Toronto FC,F,"$63,547","$67,847"
Pettersson,Tom,FC Cincinnati,D,"$325,000","$368,233"
Picault,Fafa,Houston Dynamo,F,"$500,000","$500,000"
Piette,Samuel,Montreal,M,"$425,000","$454,750"
Pineda,Mauricio,Chicago Fire,M,"$175,000","$198,875"
Pineiro,Rodrigo,Nashville SC,M,"$250,000","$347,500"
Pines,Donovan,DC United,D,"$125,000","$127,000"
Pizarro,Rodolfo,Inter Miami,M-F,"$3,050,000","$3,350,000"
Pochettino,Tomas,Austin FC,M,"$582,447","$642,447"
Polo,Andy,Portland Timbers,M,"$500,000","$500,000"
Polster,Matt,New England Revolution,D-M,"$300,000","$328,438"
Pomykal,Paxton,FC Dallas,M,"$600,000","$600,000"
Portella,Gino,Philadelphia Union,D,"$63,547","$71,615"
Portillo,Justin,Real Salt Lake,M,"$85,444","$85,444"
Powder,Noah,Real Salt Lake,D,"$63,547","$67,609"
Pozuelo,Alejandro,Toronto FC,M,"$3,800,000","$4,693,000"
Price,Jack,Colorado Rapids,M,"$600,000","$655,625"
Priso,Ralph,Toronto FC,M,"$66,724","$70,476"
Przybylko,Kacper,Philadelphia Union,F,"$825,000","$916,250"
Pulido Izaguirre,Alan,Sporting Kansas City,F,"$2,200,000","$2,200,000"
Pulisic,William,Austin FC,GK,"$63,547","$63,547"
Pulskamp,John,Sporting Kansas City,GK,"$67,360","$69,860"
Puncec,Roberto,Sporting Kansas City,D,"$575,000","$575,000"
Putna,Andrew,Real Salt Lake,GK,"$140,000","$153,458"
Quintero,Darwin,Houston Dynamo,F,"$1,352,055","$1,352,055"
Quinteros,Jairo,Inter Miami,D,"$66,724","$66,724"
Quioto,Romell,Montreal,F,"$800,000","$885,000"
Raitala,Jukka,Minnesota United,D,"$285,000","$306,350"
Ramirez,Christian,Houston Dynamo,F,"$775,000","$841,250"
Ramirez Chacon,Jeizon,Real Salt Lake,M,"$360,000","$401,250"
Raposo,Ryan,Vancouver Whitecaps,M,"$90,000","$104,000"
Rawls,Andre,Colorado Rapids,GK,"$85,000","$91,000"
Rea,Sean,Montreal,M,"$63,547","$71,730"
Real,Matthew,Philadelphia Union,D,"$90,000","$90,000"
Redes,Rodney,Austin FC,F,"$385,000","$385,000"
Redzic,Beni,FC Dallas,M,"$63,547","$71,169"
Remedi,Eric,San Jose Earthquakes,M,"$450,000","$450,000"
Rennicks,Justin,New England Revolution,F,"$100,000","$110,000"
Reyes,Andres,New York Red Bulls,D,"$400,000","$444,375"
Reyna,Yordy,DC United,M-F,"$711,500","$774,640"
Reynolds,Andre,Chicago Fire,D,"$81,375","$89,375"
Reynolds,Bryan,FC Dallas,D,"$200,000","$228,000"
Reynoso,Emanuel,Minnesota United,M,"$750,000","$966,910"
Ricaurte,Andres,FC Dallas,M,"$450,000","$487,178"
Richey,Spencer,Seattle Sounders FC,GK,"$81,375","$81,375"
Ricketts,Tosaint,Vancouver Whitecaps,F,"$160,000","$165,000"
Ring,Alexander,Austin FC,M,"$1,000,000","$1,095,000"
Rios,Daniel Esteban,Houston Dynamo,M,"$63,547","$68,069"
Rios,Daniel,Nashville SC,F,"$140,000","$161,500"
Rios,Andres,San Jose Earthquakes,F,"$870,000","$939,250"
Rivera,Damian,New England Revolution,M,"$63,547","$63,547"
Robertha,Nigel,DC United,F,"$550,000","$622,406"
Roberts,Thomas,FC Dallas,M,"$150,000","$163,000"
Robinson,Miles,Atlanta United,D,"$650,000","$687,500"
Robinson,Robbie,Inter Miami,F,"$125,000","$170,000"
Rocha,Tony,New York City FC,M,"$85,444","$85,444"
Rodriguez,Allan,Chicago Fire,M,"$66,724","$68,624"
Rodriguez,Abraham,Colorado Rapids,GK,"$63,547","$63,547"
Rodriguez,Memo,Houston Dynamo,M,"$265,000","$290,935"
Rodriguez,Brian,LAFC,F,"$700,000","$1,039,800"
Roldan,Cristian,Seattle Sounders FC,M,"$760,000","$881,542"
Roldan,Alex,Seattle Sounders FC,M-D,"$93,581","$93,581"
Romana,Jhohan,Austin FC,D,"$420,000","$420,000"
Romeo,"Antonio ""Rocco""",Toronto FC,D,"$81,250","$84,641"
Romero,Tomas,LAFC,GK,"$81,375","$86,375"
Romney,Dave,Nashville SC,D,"$225,000","$225,000"
Room,Eloy,Columbus Crew,GK,"$425,004","$479,698"
Rose,Andy,Vancouver Whitecaps,M,"$132,000","$132,000"
Rosell,Oriol,Orlando City SC,M,"$475,000","$475,000"
Rosenberry,Keegan,Colorado Rapids,D,"$285,000","$298,750"
Rossetto,Matheus,Atlanta United,M,"$550,000","$662,500"
Rossi,Diego,LAFC,F,"$1,000,000","$1,052,000"
Rowe,Kelyn,Seattle Sounders FC,M,"$180,000","$180,000"
Royer,Daniel,New York Red Bulls,M,"$750,000","$818,750"
Rubin,Rubio,Real Salt Lake,F,"$135,000","$152,067"
Rubio Kostner,Diego,Colorado Rapids,F,"$585,000","$629,583"
Ruidiaz,Raul,Seattle Sounders FC,F,"$2,100,000","$2,100,000"
Ruiz,Sergio,Major League Soccer,M,"$300,000","$363,000"
Ruiz,Pablo,Real Salt Lake,M,"$375,000","$448,500"
Rusnak,Albert,Real Salt Lake,M,"$2,150,000","$2,351,667"
Russell,Johnny,Sporting Kansas City,F,"$1,600,000","$1,600,000"
Saliba,Nathan-Dylan,Montreal,M,"$63,547","$73,999"
Salinas,Shea,San Jose Earthquakes,F,"$280,000","$280,000"
Salloi,Daniel,Sporting Kansas City,F,"$400,000","$456,667"
Sanchez,Ilie,Sporting Kansas City,M,"$1,000,000","$1,000,000"
Sands,James,New York City FC,M,"$150,000","$200,000"
Santos,Pedro,Columbus Crew,M,"$817,560","$864,560"
Santos,Sergio,Philadelphia Union,F,"$660,000","$728,500"
Sapong,CJ,Nashville SC,F,"$400,000","$427,778"
Schlegel,Rodrigo,Orlando City SC,D,"$120,000","$127,425"
Schmitt,Tate,Real Salt Lake,F,"$90,000","$90,000"
Schoenfeld,Aaron,Austin FC,F,"$210,000","$210,000"
Scott,Brady,Austin FC,GK,"$115,000","$121,236"
Seagrist,Patrick,Inter Miami,D,"$63,547","$63,547"
Sealy,Dante,FC Dallas,F,"$100,000","$113,400"
Segura,Ulises,Austin FC,M,"$240,000","$269,125"
Segura,Eddie,LAFC,D,"$200,000","$224,000"
Seitz,Chris,DC United,GK,"$160,000","$160,000"
Sejdic,Amar,Montreal,M,"$81,375","$81,375"
Sekulic,Boris,Chicago Fire,D,"$571,000","$643,900"
Servania,Brandon,FC Dallas,M,"$230,400","$271,400"
Shaffelburg,Jacob,Toronto FC,M-F,"$110,000","$116,500"
Shawcross,Ryan,Inter Miami,D,"$300,000","$307,500"
Shea,Brek,Inter Miami,M-D,"$135,000","$135,000"
Shelton,Khiry,Sporting Kansas City,F,"$650,000","$650,000"
Shinyashiki,Andre,Colorado Rapids,F,"$120,000","$130,000"
Shuttleworth,Bobby,Chicago Fire,GK,"$110,000","$125,750"
Siegfried,Parker,Sporting Kansas City,GK,"$63,547","$63,547"
Silva,Marcelo,Real Salt Lake,D,"$550,000","$596,667"
Silva,Kevin,Toronto FC,GK,"$66,724","$66,724"
Sirois,Jonathan,Montreal,GK,"$66,724","$71,167"
Sisniega,Pablo,LAFC,GK,"$150,000","$150,000"
Skahan,Jack,San Jose Earthquakes,M,"$66,724","$66,724"
Slonina,Gabriel,Chicago Fire,GK,"$100,000","$104,800"
Slonina,Nicholas,Chicago Fire,D,"$66,724","$67,974"
Smith,Kimarni,DC United,M-F,"$81,375","$81,375"
Smith,Kyle,Orlando City SC,D,"$105,996","$118,660"
Smith,Brad,Seattle Sounders FC,D,"$525,000","$566,250"
Smith,Graham,Sporting Kansas City,D,"$85,444","$85,444"
Sorga,Erik,DC United,F,"$150,000","$173,000"
Sosa,Santiago,Atlanta United,M,"$385,000","$503,100"
Sousa e Silva,Caio Alexandre,Vancouver Whitecaps,M,"$500,000","$539,583"
Souza da Silva,Brenner,FC Cincinnati,F,"$1,221,818","$1,760,418"
St. Clair,Dayne,Minnesota United,GK,"$95,000","$99,520"
Stajduhar,Mason,Orlando City SC,GK,"$85,444","$85,444"
Stanko,Caleb,FC Cincinnati,M,"$210,000","$210,000"
Stanley,Aedan,Austin FC,D,"$63,547","$63,547"
Steres,Daniel,LA Galaxy,D,"$375,000","$393,750"
Stojanovic,Luka,Chicago Fire,M,"$314,000","$373,400"
Stroud,Jared,Austin FC,M,"$81,375","$81,375"
Struna,"Aljaz ""Kiki""",Montreal,D,"$1,100,000","$1,210,000"
Stuver,Brad,Austin FC,GK,"$150,000","$160,000"
Sullivan,Quinn,Philadelphia Union,M,"$63,547","$67,047"
Sulte,Hunter,Portland Timbers,GK,"$63,547","$68,143"
Sunderland,Beckham,FC Cincinnati,GK,"$63,547","$67,609"
Sweat,Ben,Austin FC,D,"$250,000","$250,000"
Tabla,Ballou,Montreal,M,"$250,000","$276,250"
Tajouri-Shradi,Ismael,New York City FC,F,"$577,500","$618,985"
Tarbell,Andrew,Austin FC,GK,"$275,000","$283,333"
Tarek,Amro,New York Red Bulls,D,"$400,000","$400,000"
Taylor,DJ,Minnesota United,D,"$63,547","$63,547"
Teibert,Russell,Vancouver Whitecaps,M,"$350,000","$387,500"
Teixeira,Ruan,Orlando City SC,D,"$190,000","$190,000"
Teran,Carlos,Chicago Fire,D,"$150,000","$205,440"
Tessmann,Tanner,FC Dallas,M,"$115,000","$120,125"
Thompson,Tommy,San Jose Earthquakes,D,"$265,000","$265,000"
Thompson,Brooks,Sporting Kansas City,GK,"$63,547","$63,547"
Thorarinson,Gudmundur,New York City FC,D-M,"$400,000","$400,000"
Tinnerholm,Anton,New York City FC,D,"$600,000","$650,000"
Toia,Donny,Real Salt Lake,D,"$200,000","$205,000"
Tolkin,John,New York Red Bulls,D,"$85,444","$90,444"
Tolo,Nouhou,Seattle Sounders FC,D,"$125,000","$169,274"
Torres,Erick,Atlanta United,F,"$81,375","$81,375"
Torres,Christian,LAFC,F,"$79,738","$90,968"
Torres,Joaquin,Montreal,M-F,"$200,000","$249,800"
Torres,Juan Pablo,New York City FC,M,"$90,000","$104,500"
Toure,"Dantouma ""Yaya""",Colorado Rapids,M-F,"$63,547","$78,165"
Toye,Mason,Montreal,F,"$175,000","$208,000"
Traore,Mohamed,LAFC,D,"$91,444","$91,444"
Trapp,Wil,Minnesota United,M,"$747,500","$747,500"
Traustason,Arnor,New England Revolution,M-F,"$375,000","$413,405"
Trusty,Auston,Colorado Rapids,D,"$375,000","$431,250"
Tuiloma,Bill,Portland Timbers,D-M,"$220,000","$234,125"
Turner,Matt,New England Revolution,GK,"$375,000","$375,000"
Turner,Cole,Philadelphia Union,M,"$85,444","$88,444"
Twumasi,Ema,FC Dallas,F,"$200,000","$246,900"
Tyton,Przemyslaw,FC Cincinnati,GK,"$262,500","$269,375"
Ulloa,Victor,Inter Miami,M,"$220,000","$220,000"
Urruti,Maximiliano,Houston Dynamo,F,"$1,136,127","$1,270,146"
Valencia,Felipe,Inter Miami,M,"$63,547","$63,547"
Valentin,Zarek,Houston Dynamo,D,"$250,000","$280,000"
Valenzuela,Milton,Columbus Crew,D,"$375,000","$406,300"
Valeri,Diego,Portland Timbers,M,"$765,000","$914,875"
Vallecilla,Gustavo,FC Cincinnati,D,"$252,000","$284,880"
Valot,Florian,New York Red Bulls,M,"$93,581","$97,498"
Van der Water,Silvester,Orlando City SC,M-F,"$300,000","$325,750"
Van Der Werff,Maikel,FC Cincinnati,D,"$350,000","$435,167"
Van Rankin,Jose,Portland Timbers,D,"$105,255","$105,255"
Vargas,Freddy,FC Dallas,M-F,"$160,000","$186,000"
Vazquez,Brandon,FC Cincinnati,F,"$250,000","$279,167"
Vazquez,Victor,LA Galaxy,M,"$400,000","$439,167"
Vega,Daniel,San Jose Earthquakes,GK,"$220,000","$225,000"
Vela,Carlos,LAFC,F,"$4,500,000","$6,300,000"
Vera,Matias Gabriel,Houston Dynamo,M,"$350,000","$356,250"
Verfurth,Collin,New England Revolution,D,"$81,375","$81,375"
Vermeer,Kenneth,LAFC,GK,"$750,000","$756,000"
Veselinovic,Ranko,Vancouver Whitecaps,D,"$360,000","$445,500"
Villafaña,Jorge,LA Galaxy,D,"$450,000","$486,667"
Vines,Sam,Colorado Rapids,D,"$425,000","$487,677"
Vint,Will,Colorado Rapids,D,"$63,547","$63,547"
Vom Steeg,Justin,LA Galaxy,GK,"$85,444","$85,444"
Wagner,Kai,Philadelphia Union,D,"$450,000","$521,000"
Walkes,Anton,Atlanta United,D,"$250,000","$275,062"
Walls,Casey,San Jose Earthquakes,D,"$85,000","$88,000"
Walter,Remi,Sporting Kansas City,M,"$650,000","$650,000"
Wanyama,Victor,Montreal,M,"$2,400,000","$3,091,667"
Warner,Collen,Colorado Rapids,M,"$81,375","$81,375"
Washington,Taylor,Nashville SC,D-M,"$89,513","$89,513"
Waterman,Joel,Montreal,D,"$81,375","$90,284"
Weah,Patrick,Minnesota United,M-F,"$63,547","$76,733"
Westberg,Quentin,Toronto FC,GK,"$275,000","$288,583"
White,Brian,New York Red Bulls,F,"$216,000","$216,000"
Williams,Josh,Columbus Crew,D,"$300,000","$302,500"
Williams,Derrick,LA Galaxy,D,"$750,000","$821,458"
Williamson,Eryk,Portland Timbers,M,"$220,000","$236,500"
Willis,Joe,Nashville SC,GK,"$300,000","$316,250"
Wilson,Danny,Colorado Rapids,D,"$275,000","$288,750"
Wolff,Tyler,Atlanta United,F-M,"$75,000","$79,500"
Wondolowski,Chris,San Jose Earthquakes,F,"$390,000","$400,000"
Wormgoor,Vito,Columbus Crew,D,"$415,000","$492,875"
Wright-Phillips,Bradley,Columbus Crew,F,"$410,000","$475,750"
Yao,Karifa,Montreal,D,"$81,375","$85,591"
Yapi,Darren,Colorado Rapids,F,"$63,547","$74,380"
Yarbrough,William,Colorado Rapids,GK,"$300,000","$375,000"
Yearwood,Dru,New York Red Bulls,M,"$475,000","$519,750"
Yow,Griffin,DC United,F,"$110,000","$116,118"
Yueill,Jackson,San Jose Earthquakes,M,"$600,000","$636,875"
Zambrano,Renzo,Portland Timbers,M,"$85,444","$85,444"
Zardes,Gyasi,Columbus Crew,F,"$1,350,000","$1,400,000"
Zavaleta,Eriq,Toronto FC,D,"$81,375","$84,219"
Zelalem,Gedion,New York City FC,M,"$81,375","$81,375"
Zelarayan,Lucas,Columbus Crew,M,"$1,620,000","$1,985,000"
Zendejas,Adrian,Minnesota United,GK,"$81,375","$90,208"
Zimmerman,Walker,Nashville SC,D,"$925,000","$981,050"
Zobeck,Kyle,FC Dallas,GK,"$85,444","$85,444"
Zouhir,Rida,Montreal,M,"$63,547","$71,730"
Zubak,Ethan,LA Galaxy,F,"$130,000","$133,125"
Zuparic,Dario,Portland Timbers,D,"$525,000","$541,667"
Zusi,Graham,Sporting Kansas City,D,"$650,000","$713,333"
,Ilsinho,Philadelphia Union,M,"$450,000","$501,250"
,Judson,San Jose Earthquakes,M,"$360,000","$365,000"
,Auro,Toronto FC,D,"$360,000","$388,750"
