"Player","Nation","Team","League","Season","TeamElo","AgeDuringSeason","CurrentAge","Position","PlayStyle","Min","Starts","PercentLeftFooted","PercentRightFooted","Footedness","DAVIES","DAVIESPer90","xGoalsAdded","xGoalsAddedAbovePlayStyle","xGoalsAddedPer90","xGoalsAddedAbovePlayStylePer90","Salary($)","xSalary($)","CurrentMarketValue(€)","xMarketValue(€)","xGAM"
"Samuel Piette","CAN","Montreal","MLS","2018","","23","27","MF","DefensiveCentralProgressor","2998","34","12.6","87.4","Right","1.5","-0.02","3.5","1.5","0.1","-0.02","129234","250286","1500000","","215002"
"Justin Meram","IRQ","Atlanta","MLS","2019","","30","33","DF,FW","Dribbler","1265","14","23.08","76.92","Right","1.5","0.09","4.56","1.63","0.32","0.08","","","","","280117"
"Laurent Ciman","BEL","Los Angeles FC","MLS","2018","","32","36","DF","LowBlockCentralDefender","1980","22","23.33","76.67","Right","1.5","0.05","4.13","1.71","0.19","0.05","","","","","253702"
"Mark Noble","ENG","West Ham","Premier League","2019-2020","1689.95","32","34","MF","AttackingCentralProgressor","2674","32","7.31","92.69","Right","1.5","-0.02","4.06","1.3","0.14","-0.03","3430258","3855853","4800000","4504317",""
"Adrien Tameze","CMR","Nice","Ligue 1","2018-2019","1596.18","24","27","MF","DefensiveCentralProgressor","2942","34","13.28","86.72","Right","1.5","-0.02","3.56","1.56","0.11","-0.01","788265","1233183","","",""
"Koke","ESP","Atletico Madrid","La Liga","2018-2019","1874.54","26","29","MF","AttackingCentralProgressor","2586","29","8.98","91.02","Right","1.5","-0.01","4.63","1.87","0.16","0","18032838","8989990","","",""
"Tomas Rincon","VEN","Torino","Serie A","2020-2021","1595.97","33.32","33","MF","DefensiveCentralProgressor","2566","30","11.78","88.22","Right","1.5","0","3.4","1.4","0.12","0","","","4500000","",""
"Ruben Neves","POR","Wolves","Premier League","2018-2019","1719.59","21","24","MF","DefensiveCentralProgressor","3007","34","8.39","91.61","Right","1.49","-0.02","3.49","1.49","0.1","-0.02","3430258","2967423","50000000","",""
"Serge Aurier","CIV","Tottenham","Premier League","2019-2020","1808.91","26","29","DF","OffensiveWideProgressor","2700","31","13.54","86.46","Right","1.49","-0.02","4.91","1.76","0.16","-0.02","4802361","3764225","16000000","21299933",""
"Kellyn Acosta","USA","Colorado","MLS","2019","","23","26","MF","AttackingCentralProgressor","2615","30","31.97","68.03","Right","1.49","-0.02","4.14","1.38","0.14","-0.02","665000","424679","3000000","","254317"
"Guido Rodriguez","ARG","Betis","La Liga","2020-2021","1722.99","27.08","27","MF","DefensiveCentralProgressor","2594","31","9.29","90.71","Right","1.49","0","3.55","1.56","0.12","0","","","10000000","",""
"Lucas Torreira","URU","Arsenal","Premier League","2018-2019","1866.53","22","25","MF","DefensiveCentralProgressor","2382","24","9.87","90.13","Right","1.49","0.01","3.48","1.49","0.13","0.01","5145387","3074840","30000000","",""
"Renaud Ripart","FRA","Nimes","Ligue 1","2020-2021","1507.25","28.16","28","MF,FW","AttackingCentralProgressor","2874","33","22.53","77.47","Right","1.49","-0.03","4.62","1.86","0.14","-0.02","","","","",""
"Vincent Le Goff","FRA","Lorient","Ligue 1","2020-2021","1507.56","31.57","32","DF","DefensiveWideProgressor","2126","24","93.07","6.93","Left","1.49","0","3.78","1.11","0.16","0","","","","",""
"Mario Gaspar","ESP","Villarreal","La Liga","2020-2021","1804.45","30.46","31","DF","DefensiveWideProgressor","1761","20","10.06","89.94","Right","1.49","0.04","3.78","1.11","0.19","0.03","","","6000000","",""
"Ramy Bensebaini","ALG","Rennes","Ligue 1","2017-2018","1639.7","22","26","DF","DefensiveWideProgressor","2342","26","79.01","20.99","Left","1.49","-0.01","3.96","1.29","0.15","-0.01","","","","",""
"Borna Sosa","CRO","Stuttgart","Bundesliga","2020-2021","1643.05","23.3","23","DF","OffensiveWideProgressor","1890","23","93.04","6.96","Left","1.49","0.05","4.91","1.76","0.23","0.05","","","","",""
"Paul Baysse","FRA","Bordeaux","Ligue 1","2020-2021","1506.97","32.98","33","DF","PossessionOrientedCentralDefender","2524","28","18.49","81.51","Right","1.49","-0.01","4.24","1.45","0.15","0","","","","",""
"Luiz Araujo","BRA","Lille","Ligue 1","2017-2018","1532.95","21","25","FW,MF","Dribbler","2017","24","81.88","18.12","Left","1.49","-0.04","4.48","1.55","0.2","-0.04","","","5500000","",""
"Jens Stryger Larsen","DEN","Udinese","Serie A","2019-2020","1582.55","28","30","DF","OffensiveWideProgressor","2789","32","13.74","86.26","Right","1.48","-0.02","4.91","1.75","0.16","-0.02","732849","1449274","3000000","7332578",""
"Adrien Thomasson","FRA","Strasbourg","Ligue 1","2019-2020","1577.77","25","28","MF","Playmaker","2072","24","15.72","84.28","Right","1.48","0","5.42","1.71","0.24","0","534935","1886918","6500000","6250233",""
"Kelvin Amian","FRA","Toulouse","Ligue 1","2018-2019","1491.43","20","23","DF","DefensiveWideProgressor","2880","32","17.44","82.56","Right","1.48","-0.04","3.96","1.28","0.12","-0.04","307616","946605","5400000","",""
"Jean-Paul Boetius","NED","Mainz 05","Bundesliga","2019-2020","1652.84","25","27","MF","AttackingCentralProgressor","2266","26","16.8","83.2","Right","1.48","0.01","4.61","1.86","0.18","0.02","882133","1514255","4800000","6474080",""
"Andrew Robertson","SCO","Liverpool","Premier League","2017-2018","1913.55","23","27","DF","OffensiveWideProgressor","1940","22","89.47","10.53","Left","1.48","0.02","4.23","1.07","0.2","0.02","","","64000000","",""
"Nicolas Nkoulou","CMR","Torino","Serie A","2017-2018","1677.54","27","31","DF","LowBlockCentralDefender","3258","37","9.25","90.75","Right","1.48","-0.02","3.97","1.55","0.11","-0.02","","","","",""
"Nicolas Pallois","FRA","Nantes","Ligue 1","2020-2021","1552.55","33.64","34","DF","PossessionOrientedCentralDefender","2596","29","89.55","10.45","Left","1.48","-0.01","4.23","1.44","0.15","-0.01","","","2000000","",""
"Jordan Veretout","FRA","Roma","Serie A","2020-2021","1729.19","28.19","28","MF","AttackingCentralProgressor","2053","25","16.28","83.72","Right","1.48","0.03","4.61","1.85","0.2","0.04","","","24000000","",""
"Lucas Moura","BRA","Tottenham","Premier League","2018-2019","1890.94","25","29","FW,MF","Finisher","2121","25","8.77","91.23","Right","1.48","-0.03","5.07","1.71","0.22","-0.03","5488413","4041795","32000000","",""
"Paul Lasne","FRA","Montpellier","Ligue 1","2017-2018","1590.91","28","32","MF","AttackingCentralProgressor","3064","34","50.34","49.66","Dual","1.48","-0.03","4.61","1.85","0.14","-0.03","","","","",""
"Roberto Torres","ESP","Osasuna","La Liga","2019-2020","1695.54","30","32","MF,FW","Playmaker","2717","31","15.81","84.19","Right","1.48","-0.06","5.41","1.7","0.18","-0.05","","","6000000","8649262",""
"Orji Okwonkwo","NGA","Montreal","MLS","2019","","21","23","FW,MF","Dribbler","1769","24","14.86","85.14","Right","1.48","-0.01","4.47","1.55","0.23","-0.01","220000","438981","900000","","274588"
"Rony Lopes","POR","Monaco","Ligue 1","2018-2019","1562.92","22","26","FW,MF","Playmaker","1849","22","81.85","18.15","Left","1.48","0.03","5.1","1.39","0.25","0.02","1352604","1503097","","",""
"Robert Andrich","GER","Union Berlin","Bundesliga","2019-2020","1600.27","24","27","MF","AttackingCentralProgressor","2572","30","23.2","76.8","Right","1.48","-0.01","4.61","1.85","0.16","0","","","4000000","9343483",""
"Moussa Niakhate","FRA","Mainz 05","Bundesliga","2018-2019","1650.15","22","25","DF","PossessionOrientedCentralDefender","2789","32","84.46","15.54","Left","1.48","-0.02","4","1.21","0.13","-0.03","901359","1143844","11000000","",""
"Christian Gentner","GER","Stuttgart","Bundesliga","2017-2018","1658.9","31","36","MF","AttackingCentralProgressor","2412","27","19.39","80.61","Right","1.47","-0.01","4.03","1.28","0.15","-0.01","","","","",""
"Kiko Olivas","ESP","Valladolid","La Liga","2019-2020","1653.63","30","33","DF","LowBlockCentralDefender","2943","33","12.45","87.55","Right","1.47","-0.01","3.96","1.54","0.12","-0.01","632195","2042332","1500000","3443938",""
"Cristian Casseres Jr.","VEN","NY Red Bulls","MLS","2019","","19","21","MF","OffensiveWideProgressor","1797","21","16.34","83.66","Right","1.47","-0.01","3.23","0.08","0.16","-0.02","","","","","198416"
"Leander Dendoncker","BEL","Wolves","Premier League","2020-2021","1755.1","26.07","26","MF,DF","DefensiveCentralProgressor","2343","26","18.02","81.98","Right","1.47","0.01","3.53","1.54","0.14","0.01","","","28000000","",""
"Daniel Baier","GER","Augsburg","Bundesliga","2018-2019","1591.47","34","37","MF","DefensiveCentralProgressor","2815","33","7.45","92.55","Right","1.47","-0.01","3.37","1.38","0.11","-0.02","2253963","2831082","","",""
"Jean Seri","CIV","Fulham","Premier League","2018-2019","1585.52","27","30","MF","DefensiveCentralProgressor","2244","27","12.83","87.17","Right","1.47","0.02","3.53","1.54","0.14","0.02","","","","",""
"Max Kruse","GER","Werder Bremen","Bundesliga","2017-2018","1653.94","29","33","FW","Playmaker","2453","28","75.83","24.17","Left","1.47","-0.04","5.41","1.7","0.2","-0.03","","","","",""
"Adama Diomande","NOR","Los Angeles FC","MLS","2018","","27","31","FW","Finisher","1248","14","22.08","77.92","Right","1.47","0.12","5.06","1.7","0.36","0.12","935000","986963","","","310831"
"Alphonso Davies","CAN","Bayern Munich","Bundesliga","2020-2021","1992.34","20.52","21","DF","OffensiveWideProgressor","1583","20","81.1","18.9","Left","1.47","0.06","4.21","1.06","0.24","0.06","","","80000000","",""
"Portu","ESP","Real Sociedad","La Liga","2020-2021","1742.85","28.97","29","FW,MF","Finisher","1968","22","4.28","95.72","Right","1.47","-0.01","5.06","1.7","0.23","-0.02","","","16000000","",""
"Jack O'Connell","ENG","Sheffield Utd","Premier League","2019-2020","1697.96","25","27","DF","PossessionOrientedCentralDefender","2916","32","95.41","4.59","Left","1.47","-0.02","4.49","1.7","0.14","-0.02","","","9500000","11240653",""
"Sehrou Guirassy","FRA","Rennes","Ligue 1","2020-2021","1618.11","25.16","25","FW","Finisher","1629","18","12.94","87.06","Right","1.47","0.03","5.06","1.7","0.28","0.03","","","","",""
"Edgar Castillo","USA","New England","MLS","2019","","32","35","DF","DefensiveWideProgressor","1689","20","86.8","13.2","Left","1.47","0.04","3.76","1.08","0.2","0.04","250000","355906","","","230974"
"Anwar El Ghazi","NED","Aston Villa","Premier League","2019-2020","1622.7","24","26","FW,MF","Dribbler","2051","26","17.43","82.57","Right","1.46","-0.04","4.52","1.6","0.2","-0.04","","","8000000","9286143",""
"Yassine Benzia","ALG","Lille","Ligue 1","2017-2018","1532.95","22","27","MF,FW","Playmaker","2288","30","17.61","82.39","Right","1.46","-0.02","5.09","1.38","0.2","-0.03","","","","",""
"Kamil Glik","POL","Benevento","Serie A","2020-2021","1513.24","33.27","33","DF","LowBlockCentralDefender","2936","33","19.43","80.57","Right","1.46","-0.01","4.09","1.67","0.13","-0.01","","","","",""
"Josip Brekalo","CRO","Wolfsburg","Bundesliga","2019-2020","1718.13","21","23","MF,FW","Playmaker","1670","19","10.85","89.15","Right","1.46","0.05","5.09","1.38","0.27","0.04","2035692","3119380","13500000","19524083",""
"Ruben Garcia","ESP","Osasuna","La Liga","2019-2020","1695.54","26","28","MF,FW","Playmaker","2188","25","90.11","9.89","Left","1.46","-0.01","5.4","1.69","0.22","-0.01","","","10000000","12299963",""
"Chris Basham","ENG","Sheffield Utd","Premier League","2020-2021","1602.77","32.81","33","DF,MF","DefensiveWideProgressor","2306","28","13.87","86.13","Right","1.46","-0.01","3.75","1.08","0.15","-0.01","","","3000000","",""
"Jacob Bruun Larsen","DEN","Dortmund","Bundesliga","2018-2019","1822.8","19","23","FW,MF","Dribbler","1265","16","27.16","72.84","Right","1.46","-0.02","3.19","0.27","0.23","-0.01","499875","1086309","","",""
"Rodrigo Bentancur","URU","Juventus","Serie A","2019-2020","1860.02","22","24","MF","AttackingCentralProgressor","2196","25","19.33","80.67","Right","1.46","0","4.1","1.35","0.17","0","2094501","2633401","50000000","46627900",""
"Bernardo Silva","POR","Manchester City","Premier League","2017-2018","1970.75","22","27","FW,MF","Dribbler","1533","15","89.77","10.23","Left","1.46","0.02","4.45","1.53","0.26","0.02","","","80000000","",""
"Aaron Martin","ESP","Espanyol","La Liga","2017-2018","1727.57","20","24","DF","OffensiveWideProgressor","2816","31","89.35","10.65","Left","1.46","-0.04","4.2","1.05","0.13","-0.05","","","","",""
"Kevin Vogt","GER","Hoffenheim","Bundesliga","2018-2019","1726.84","26","30","DF","PossessionOrientedCentralDefender","2391","28","6.07","93.93","Right","1.46","0.01","4.47","1.69","0.17","0.01","2261880","2949378","6000000","",""
"William Saliba","FRA","Nice","Ligue 1","2020-2021","1567.59","20.13","20","DF","LowBlockCentralDefender","1620","18","7.89","92.11","Right","1.46","0.06","3.52","1.11","0.2","0.06","","","","",""
"Benjamin Stambouli","FRA","Schalke 04","Bundesliga","2017-2018","1735.62","26","31","DF,MF","PossessionOrientedCentralDefender","2197","24","21.3","78.7","Right","1.46","0.03","4.47","1.69","0.18","0.03","","","8000000","",""
"Davide Biraschi","ITA","Genoa","Serie A","2018-2019","1537.01","24","27","DF","PossessionOrientedCentralDefender","2841","32","5.37","94.63","Right","1.46","-0.01","4.47","1.68","0.14","-0.01","942073","1548009","3500000","",""
"Hendrik Weydandt","GER","Hannover 96","Bundesliga","2018-2019","1527.5","23","26","FW,MF","Finisher","1723","18","28.72","71.28","Right","1.46","-0.02","4.45","1.09","0.23","-0.02","205831","1449190","","",""
"Mario Mandzukic","CRO","Juventus","Serie A","2017-2018","1958.95","31","35","FW","Finisher","2324","27","12.58","87.42","Right","1.46","-0.05","5.28","1.92","0.2","-0.04","","","","",""
"Jordan Harvey","USA","Los Angeles FC","MLS","2019","","35","37","DF","DefensiveWideProgressor","2359","28","84.41","15.59","Left","1.45","-0.01","3.75","1.07","0.14","-0.02","165000","204840","300000","","230359"
"Jonathan Tah","GER","Leverkusen","Bundesliga","2019-2020","1795.39","23","25","DF","PossessionOrientedCentralDefender","2092","22","18.09","81.91","Right","1.45","0.02","3.97","1.19","0.17","0.02","3381511","2736630","24000000","39065933",""
"Jordan Henderson","ENG","Liverpool","Premier League","2017-2018","1913.55","27","31","MF","DefensiveCentralProgressor","2171","25","12.95","87.05","Right","1.45","0.02","3.51","1.52","0.15","0.02","","","28000000","",""
"Jefferson Lerma","COL","Bournemouth","Premier League","2019-2020","1633.84","24","27","MF","DefensiveCentralProgressor","2703","31","11.69","88.31","Right","1.45","-0.01","3.51","1.52","0.12","-0.01","3430258","3504354","20000000","17294630",""
"Alberto Grassi","ITA","SPAL","Serie A","2017-2018","1554.81","22","26","MF","AttackingCentralProgressor","2253","26","17.79","82.21","Right","1.45","0","4.1","1.34","0.16","0","","","","",""
"Joan Jordan","ESP","Eibar","La Liga","2017-2018","1723.54","23","27","MF","AttackingCentralProgressor","2435","25","13.41","86.59","Right","1.45","-0.01","4.1","1.34","0.15","-0.01","","","","",""
"Karol Linetty","POL","Sampdoria","Serie A","2017-2018","1600.93","22","26","MF","AttackingCentralProgressor","2139","21","36.28","63.72","Right","1.45","0.01","4.1","1.34","0.17","0.01","","","10000000","",""
"Boubacar Kamara","FRA","Marseille","Ligue 1","2019-2020","1678.85","19","22","DF,MF","PossessionOrientedCentralDefender","2139","24","10.13","89.87","Right","1.45","0","3.55","0.77","0.15","-0.01","338151","1041782","27000000","21716440",""
"Pedro","ESP","Roma","Serie A","2020-2021","1729.19","33.79","34","FW,MF","Playmaker","1457","18","31.58","68.42","Right","1.45","0.07","5.12","1.41","0.32","0.08","","","","",""
"Jose Angel","ESP","Eibar","La Liga","2017-2018","1723.54","27","32","DF","OffensiveWideProgressor","2423","28","88.62","11.38","Left","1.45","0","4.87","1.72","0.18","0","","","3000000","",""
"Jorge Miramon","ESP","Levante","La Liga","2020-2021","1671.31","31.94","32","DF","DefensiveWideProgressor","1651","18","4.31","95.69","Right","1.45","0.05","3.74","1.06","0.2","0.05","","","2500000","",""
"Kerem Demirbay","GER","Leverkusen","Bundesliga","2019-2020","1795.39","26","28","MF","AttackingCentralProgressor","1573","18","82.6","17.4","Left","1.44","0.09","4.57","1.82","0.26","0.1","","","24000000","43642700",""
"Mama Samba Balde","GNB","Dijon","Ligue 1","2020-2021","1414.93","25.51","26","FW","Finisher","2130","24","19.58","80.42","Right","1.44","-0.03","5.03","1.67","0.21","-0.04","","","","",""
"Shkodran Mustafi","GER","Arsenal","Premier League","2017-2018","1818.72","25","29","DF","PossessionOrientedCentralDefender","2273","25","4.5","95.5","Right","1.44","0.02","4.46","1.67","0.18","0.02","","","15000000","",""
"Fabian Schar","SUI","Newcastle Utd","Premier League","2018-2019","1715.6","26","30","DF","PossessionOrientedCentralDefender","1999","22","11.85","88.15","Right","1.44","0.04","4.46","1.67","0.2","0.05","2744206","3698954","13000000","",""
"Lebo Mothiba","RSA","Strasbourg","Ligue 1","2018-2019","1552.1","22","25","FW","Finisher","1771","18","12.06","87.94","Right","1.44","-0.03","4.44","1.08","0.23","-0.02","658207","994371","4000000","",""
"Ghislain Konan","CIV","Reims","Ligue 1","2018-2019","1583.48","22","26","DF","DefensiveWideProgressor","1800","20","92.34","7.66","Left","1.44","0.04","3.91","1.24","0.2","0.04","540589","1058511","5500000","",""
"Boulaye Dia","SEN","Reims","Ligue 1","2019-2020","1605.37","22","25","FW","Finisher","1812","21","13.49","86.51","Right","1.44","-0.03","4.44","1.08","0.22","-0.03","","","6000000","8937070",""
"Florent Mollet","FRA","Montpellier","Ligue 1","2018-2019","1617.81","26","30","MF,FW","Playmaker","2564","31","14.93","85.07","Right","1.44","-0.05","5.38","1.67","0.19","-0.04","406007","1139160","7000000","",""
"Dominique Heintz","GER","Freiburg","Bundesliga","2019-2020","1660.59","25","28","DF","LowBlockCentralDefender","2434","27","84.97","15.03","Left","1.44","0.01","3.92","1.51","0.15","0.01","901359","1226023","8000000","8208933",""
"Jan Bednarek","POL","Southampton","Premier League","2019-2020","1724.54","23","25","DF","LowBlockCentralDefender","3057","34","18.68","81.32","Right","1.44","-0.03","3.5","1.08","0.1","-0.03","1372103","1908452","15000000","14263650",""
"Wilfried Singo","CIV","Torino","Serie A","2020-2021","1595.97","20.38","21","DF","OffensiveWideProgressor","1617","18","9.61","90.39","Right","1.43","0.06","4.18","1.03","0.23","0.05","","","","",""
"Jeffrey Gouweleeuw","NED","Augsburg","Bundesliga","2017-2018","1614.1","26","30","DF","PossessionOrientedCentralDefender","2385","27","12.51","87.49","Right","1.43","0.01","4.45","1.66","0.17","0.01","","","9500000","",""
"Jamal Lewis","NIR","Norwich City","Premier League","2019-2020","1537.87","21","23","DF","DefensiveWideProgressor","2304","25","87.56","12.44","Left","1.43","-0.01","3.91","1.23","0.15","-0.01","","","11000000","9059780",""
"Stuart Armstrong","SCO","Southampton","Premier League","2020-2021","1708.61","29.12","29","MF","AttackingCentralProgressor","2417","28","18.93","81.07","Right","1.43","0","4.56","1.81","0.17","0","","","6500000","",""
"Andriy Yarmolenko","UKR","Dortmund","Bundesliga","2017-2018","1737.74","27","32","FW,MF","Dribbler","1039","13","74.58","25.42","Left","1.43","0.15","4.49","1.56","0.39","0.15","","","","",""
"Federico Ceccherini","ITA","Crotone","Serie A","2017-2018","1542.79","25","29","DF","LowBlockCentralDefender","3229","37","30.62","69.38","Right","1.43","-0.02","3.92","1.5","0.11","-0.02","","","","",""
"Pierre Lees-Melou","FRA","Nice","Ligue 1","2018-2019","1596.18","25","28","MF","AttackingCentralProgressor","2394","26","19.87","80.13","Right","1.43","0","4.56","1.8","0.17","0.01","","","","",""
"William Carvalho","POR","Betis","La Liga","2018-2019","1682.82","26","29","MF","DefensiveCentralProgressor","2385","26","13.33","86.67","Right","1.43","0.01","3.49","1.49","0.13","0.01","","","20000000","",""
"Ilkay Gundogan","GER","Manchester City","Premier League","2018-2019","2037.31","27","31","MF","AttackingCentralProgressor","2137","23","26.78","73.22","Right","1.43","0.02","4.56","1.8","0.19","0.03","9604722","4808880","","",""
"Ismael Tajouri-Shradi","LBY","NYCFC","MLS","2018","","23","27","FW,MF","Playmaker","1546","18","91.36","8.64","Left","1.43","0.07","5.05","1.34","0.29","0.06","350500","590109","1000000","","310217"
"Aaron Cresswell","ENG","West Ham","Premier League","2017-2018","1669.79","27","32","DF","DefensiveWideProgressor","3069","35","93.41","6.59","Left","1.43","-0.03","4.29","1.61","0.13","-0.03","","","6500000","",""
"Joseba Zaldua","ESP","Real Sociedad","La Liga","2019-2020","1739.98","27","29","DF","DefensiveWideProgressor","2545","29","8.26","91.74","Right","1.43","-0.01","4.29","1.61","0.15","-0.01","1085702","1299836","10000000","10783977",""
"Emmanuel Riviere","FRA","Metz","Ligue 1","2017-2018","1456.77","27","31","FW","Finisher","2009","23","9.89","90.11","Right","1.43","-0.02","5.01","1.66","0.22","-0.02","","","","",""
"Granit Xhaka","SUI","Arsenal","Premier League","2019-2020","1803.37","26","29","MF","DefensiveCentralProgressor","2586","30","84.02","15.98","Left","1.43","0","3.48","1.49","0.12","0","6860516","5972748","24000000","32854167",""
"Lorenzo De Silvestri","ITA","Bologna","Serie A","2020-2021","1595.33","32.97","33","DF","DefensiveWideProgressor","1986","23","10.46","89.54","Right","1.43","0.01","3.72","1.04","0.17","0.01","","","","",""
"Dani Ceballos","ESP","Arsenal","Premier League","2019-2020","1803.37","22","25","MF","DefensiveCentralProgressor","1692","18","5.74","94.26","Right","1.42","0.06","3.42","1.42","0.18","0.06","","","32000000","32750013",""
"Lukas Klostermann","GER","RB Leipzig","Bundesliga","2018-2019","1781.53","22","25","DF","DefensiveWideProgressor","2003","22","21.7","78.3","Right","1.42","0.02","3.9","1.22","0.18","0.02","1690755","1553508","38000000","",""
"Remi Oudin","FRA","Bordeaux","Ligue 1","2020-2021","1506.97","24.48","25","FW,MF","AttackingCentralProgressor","2359","27","85.88","14.12","Left","1.42","0","4.55","1.8","0.17","0.01","","","7000000","",""
"Kingsley Ehizibue","NED","Koln","Bundesliga","2019-2020","1600.18","24","26","DF","DefensiveWideProgressor","2329","29","8.13","91.87","Right","1.42","0.01","4.28","1.61","0.17","0.01","","","","",""
"Raphael Varane","FRA","Real Madrid","La Liga","2020-2021","1925.01","28.04","28","DF","PossessionOrientedCentralDefender","2625","30","42.53","57.47","Dual","1.42","0","4.44","1.65","0.15","0","","","70000000","",""
"Luca Cigarini","ITA","Cagliari","Serie A","2019-2020","1585.66","33","35","MF","DefensiveCentralProgressor","1598","19","11.42","88.58","Right","1.42","0.07","3.32","1.33","0.19","0.06","","","800000","1244931",""
"Lorenzo De Silvestri","ITA","Torino","Serie A","2018-2019","1692.6","30","33","DF,MF","OffensiveWideProgressor","2415","30","13.18","86.82","Right","1.42","0","4.84","1.69","0.18","0","1885277","1932616","2500000","",""
"Nick DeLeon","USA","Toronto FC","MLS","2019","","28","31","MF,FW","AttackingCentralProgressor","1853","23","10.79","89.21","Right","1.42","0.05","4.55","1.79","0.22","0.06","175270","262223","950000","","279502"
"Rafinha","BRA","Bayern Munich","Bundesliga","2017-2018","1943.77","31","36","DF","DefensiveCentralProgressor","1851","19","19.57","80.43","Right","1.42","0.04","3.32","1.32","0.16","0.04","","","","",""
"Domingos Duarte","POR","Granada","La Liga","2019-2020","1714.43","24","26","DF","LowBlockCentralDefender","3087","34","7.76","92.24","Right","1.42","-0.02","3.9","1.49","0.11","-0.02","","","10000000","13871500",""
"Manu Garcia","ESP","Alaves","La Liga","2017-2018","1704.9","31","35","MF","DefensiveCentralProgressor","2438","27","67.71","32.29","Left","1.42","0","3.32","1.32","0.12","0","","","","",""
"Flavien Tait","FRA","Angers","Ligue 1","2017-2018","1547.32","24","28","MF,FW","Playmaker","2241","26","10.78","89.22","Right","1.41","-0.02","5.35","1.64","0.21","-0.02","","","","",""
"Jerome Boateng","GER","Bayern Munich","Bundesliga","2020-2021","1992.34","32.68","33","DF","PossessionOrientedCentralDefender","2218","27","29.93","70.07","Right","1.41","0.01","4.17","1.38","0.17","0.01","","","12000000","",""
"Nordi Mukiele","FRA","RB Leipzig","Bundesliga","2020-2021","1825.31","23.52","24","DF","OffensiveWideProgressor","1671","21","7.9","92.1","Right","1.41","0.08","4.84","1.69","0.26","0.08","","","23000000","",""
"Alexander Djiku","GHA","Strasbourg","Ligue 1","2020-2021","1546.93","26.75","27","DF,MF","LowBlockCentralDefender","2372","27","17.35","82.65","Right","1.41","0.02","3.9","1.48","0.15","0.02","","","6500000","",""
"Sead Kolasinac","BIH","Arsenal","Premier League","2018-2019","1866.53","25","28","DF","OffensiveWideProgressor","1887","22","88.2","11.8","Left","1.41","0.05","4.84","1.68","0.23","0.05","6860516","5944259","16000000","",""
"Charles Aranguiz","CHI","Leverkusen","Bundesliga","2019-2020","1795.39","30","32","MF","DefensiveCentralProgressor","2118","23","15.18","84.82","Right","1.41","0.02","3.47","1.48","0.15","0.02","3352106","3672494","12000000","14550807",""
"Ezgjan Alioski","MKD","Leeds United","Premier League","2020-2021","1747.98","29.24","29","DF","OffensiveWideProgressor","2191","26","90.8","9.2","Left","1.41","0.02","4.83","1.68","0.2","0.02","","","","",""
"Troy Deeney","ENG","Watford","Premier League","2019-2020","1649.85","31","33","FW","Finisher","2225","26","6.15","93.85","Right","1.41","-0.04","5.23","1.87","0.21","-0.04","4459335","4503101","6500000","5732155",""
"Juan Agudelo","USA","New England","MLS","2019","","26","29","MF,FW","AttackingCentralProgressor","1954","21","11.46","88.54","Right","1.41","0.04","4.54","1.78","0.21","0.04","605000","489322","","","278888"
"Djibril Sidibe","FRA","Monaco","Ligue 1","2018-2019","1562.92","26","29","DF,MF","OffensiveWideProgressor","2076","22","18.41","81.59","Right","1.41","0.03","4.83","1.68","0.21","0.03","3615615","3030222","","",""
"Kwadwo Asamoah","GHA","Inter","Serie A","2018-2019","1730.07","29","33","DF","OffensiveWideProgressor","2671","30","90.12","9.88","Left","1.41","-0.02","4.83","1.68","0.16","-0.02","6283503","5689232","4000000","",""
"Douglas Luiz","BRA","Aston Villa","Premier League","2020-2021","1728.97","23.01","23","MF","DefensiveCentralProgressor","2583","30","11.04","88.96","Right","1.41","-0.01","3.47","1.47","0.12","0","","","22000000","",""
"Gustav Svensson","SWE","Seattle","MLS","2018","","30","34","MF,DF","DefensiveCentralProgressor","2072","23","8.37","91.63","Right","1.41","0.02","3.47","1.47","0.15","0.03","367500","376552","600000","","213159"
"Davide Biraschi","ITA","Genoa","Serie A","2019-2020","1536.21","25","27","DF","DefensiveWideProgressor","1971","22","6.9","93.1","Right","1.41","0.03","4.27","1.59","0.19","0.04","942073","1396489","3500000","3468892",""
"Daniel Wass","DEN","Valencia","La Liga","2018-2019","1809.51","29","32","DF,MF","OffensiveWideProgressor","2354","26","7.26","92.74","Right","1.41","0","4.83","1.68","0.18","0.01","3924362","3197302","7500000","",""
"Gabriel Paulista","BRA","Valencia","La Liga","2018-2019","1809.51","27","31","DF","LowBlockCentralDefender","2623","30","9.23","90.77","Right","1.41","0","3.89","1.48","0.13","0","4116622","2861277","15000000","",""
"Salih Ozcan","GER","Koln","Bundesliga","2017-2018","1543.68","19","23","MF","DefensiveCentralProgressor","1670","19","19.09","80.91","Right","1.41","0.01","2.4","0.41","0.13","0.01","","","","",""
"Matteo Guendouzi","FRA","Hertha BSC","Bundesliga","2020-2021","1641.09","22.07","22","MF","AttackingCentralProgressor","1818","19","8.68","91.32","Right","1.4","0.04","4.05","1.29","0.2","0.04","","","","",""
"Robin Le Normand","FRA","Real Sociedad","La Liga","2020-2021","1742.85","24.5","25","DF","PossessionOrientedCentralDefender","2567","28","11.17","88.83","Right","1.4","0","4.42","1.63","0.16","0","","","15000000","",""
